Crop_Labels,N-Min,N-Avg,N-Max,P-Min,P-Avg,P-Max,K-Min,K-Avg,K-Max,T-Min,T-Avg,T-Max,H-Min,H-Avg,H-Max,ph-Min,ph-Avg,ph-Max,Rf-Min,Rf-Avg,Rf-Max
Rice,60,79.8,99,35,47.58,60,35,39.87,45,20.04,23.68,26.93,80.12,82.27,84.96,5,6.42,7.86,182.56,236.18,298.56
Maize,60,77.76,100,35,48.44,60,15,19.79,25,18.04,22.38,26.54,55.28,65.09,74.82,5.51,6.24,6.99,60.65,84.76,109.75
Chickpea,20,40.09,60,55,67.79,80,75,79.92,85,17.02,18.87,20.99,14.25,16.86,19.96,5.98,7.33,8.86,65.11,80.05,94.78
Kidneybeans,0,20.75,40,55,67.54,80,15,20.05,25,15.33,20.11,24.92,18.09,21.6,24.96,5.5,5.74,5.99,60.27,105.91,149.77
Pigeonpeas,0,20.73,40,55,67.73,80,15,20.29,25,18.31,27.74,36.97,30.4,48.06,69.69,4.54,5.79,7.44,90.05,149.45,198.82
Mothbeans,0,21.44,30,45,48.01,60,15,20.23,25,24.01,28.19,31.99,40,53.16,64.95,3.5,6.83,9.93,30.92,51.19,74.44
Mungbean,0,20.99,40,35,47.28,60,15,19.87,25,27.01,28.52,29.91,80.03,85.5,89.99,6.21,6.72,7.19,36.12,48.4,59.87
Blackgram,20,40.02,60,55,67.47,80,15,19.24,25,25.09,29.97,34.94,60.06,65.11,69.96,6.5,7.13,7.77,60.41,67.88,74.91
Lentils,0,18.77,40,55,68.36,80,15,19.41,25,18.06,24.5,29.94,60.09,64.8,69.92,5.91,6.92,7.84,35.03,45.68,54.93
Pomegranate,0,18.87,40,5,18.75,30,35,40.21,45,18.07,21.83,24.96,85.12,90.12,94.99,5.56,6.42,7.19,102.51,107.52,112.47
Banana,80,100.23,120,70,82.01,95,45,50.05,55,25.01,27.37,29.9,75.03,80.35,84.97,5.5,5.98,6.49,90.1,104.62,119.84
Mango,0,20.07,40,15,27.18,40,25,29.92,35,27,31.2,35.99,40.02,50.15,54.96,4.56,5.76,6.96,89.29,94.7,100.81
Grapes,0,23.18,40,120,132.53,145,195,200.11,205,8.82,23.84,41.94,80.01,81.87,83.98,5.51,6.02,6.49,65.01,69.61,74.91
Watermelon,80,99.42,120,5,17,30,45,50.22,55,24.04,25.59,26.98,80.02,85.16,89.98,6,6.49,6.95,40.12,50.78,59.75
Muskmelon,80,100.32,120,5,17.72,30,45,50.08,55,27.02,28.66,29.94,90.01,92.34,94.96,6,6.35,6.78,20.21,24.69,29.86
Apple,0,20.8,40,120,134.22,145,195,199.89,205,21.03,22.63,23.99,90.02,92.33,94.92,5.51,5.92,6.49,100.11,112.65,124.98
Orange,0,19.58,40,5,16.55,30,5,10.01,15,10.01,22.76,34.9,90,92.17,94.96,6.01,7.01,7.99,100.17,110.47,119.69
Papaya,31,49.88,70,46,59.05,70,45,50.04,55,23.01,33.72,43.67,90.03,92.4,94.45,6.5,6.74,6.99,40.35,142.62,248.85
Coconut,0,21.98,40,5,16.93,30,25,30.59,35,25,27.4,29.86,90.01,94.84,99.98,5.5,5.97,6.47,131.09,175.68,225.63
Cotton,100,117.77,140,35,46.24,60,15,19.56,25,22,23.98,25.99,75,79.84,84.87,5.8,6.91,7.99,60.65,80.39,99.93
Jute,60,78.4,100,35,46.86,60,35,39.99,45,23.09,24.95,26.98,70.88,79.63,89.89,6,6.73,7.488,150.23,174.79,199.83
Coffee,80,101.2,120,15,28.74,40,25,29.94,35,23.05,25.54,27.92,50.04,58.86,69.94,6.02,6.79,7.49,115.15,158.06,199.47
